id,drawing_id,drawing_details_name,drawing_details_no,isScopeDrawing,isSubmitted,isApproved,created_at,updated_at,deleted_at
1,1,Contour Survey Report,APGCL-AR-01,0,1,1,27-08-2024 10:43,27-08-2024 10:43,NULL
2,1,Geo-Technical Investigation Report,APGCL-AR-02,0,1,1,27-08-2024 10:43,27-08-2024 10:43,NULL
3,1,PVsyst Report,APGCL-AR-03,1,0,0,27-08-2024 10:43,27-08-2024 10:43,NULL
4,2,Design basis for Inverter,APGCL-AC Calc-01,0,1,0,28-08-2024 10:43,28-08-2024 10:43,NULL
5,2,Design basis for Transformer,APGCL-AC Calc-02,0,1,0,29-08-2024 10:43,29-08-2024 10:43,NULL
6,2,HT Cable Sizing Calculation,APGCL-AC Calc-03,0,1,0,30-08-2024 10:43,30-08-2024 10:43,NULL
7,2,LT Cable Sizing Calculation,APGCL-AC Calc-04,0,1,0,31-08-2024 10:43,31-08-2024 10:43,NULL
8,2,Earthing Calculation for AC Side,APGCL-AC Calc-05,0,1,0,01-09-2024 10:43,01-09-2024 10:43,NULL
9,2,Design basis for Auxiliary Power,APGCL-AC Calc-06,0,1,0,02-09-2024 10:43,02-09-2024 10:43,NULL
10,2,HT Cable Schedule,APGCL-AC Calc-07,0,1,0,03-09-2024 10:43,03-09-2024 10:43,NULL
11,2,LT Cable Schedule,APGCL-AC Calc-08,0,1,0,04-09-2024 10:43,04-09-2024 10:43,NULL
12,3,Shadow Analysis Layout & Report (9 AM to 4 PM),APGCL-DC Calc-02,0,1,1,04-09-2024 10:43,04-09-2024 10:43,NULL
13,3,Design basis for DC side,APGCL-DC Calc-03,0,1,1,04-09-2024 10:43,04-09-2024 10:43,NULL
14,3,DC Cable Sizing Calculation,APGCL-DC Calc-04,0,1,1,04-09-2024 10:43,04-09-2024 10:43,NULL
15,3,Earthing Calculation for DC Side,APGCL-DC Calc-05,1,1,0,04-09-2024 10:43,04-09-2024 10:43,NULL
16,3,DC Cable Schedule,APGCL-DC Calc-06,1,0,0,04-09-2024 10:43,04-09-2024 10:43,NULL
17,4,AC Single Line Diagram,APGCL-AC ED-01,0,1,1,04-09-2024 10:43,04-09-2024 10:43,NULL
18,4,Inverter Room Equipment Layout,APGCL-AC ED-04,0,1,1,04-09-2024 10:43,04-09-2024 10:43,NULL
19,4,Inverter Room Cable Trench Layout,APGCL-AC ED-05,0,1,1,04-09-2024 10:43,04-09-2024 10:43,NULL
20,4,Evacuation arrangement Layout,APGCL-AC ED-06,0,1,1,04-09-2024 10:43,04-09-2024 10:43,NULL
21,4,800V ACCB SLD,APGCL-AC ED-07,0,1,0,04-09-2024 10:43,04-09-2024 10:43,NULL
22,4,HT Panel SLD,APGCL-AC ED-08,1,0,0,04-09-2024 10:43,04-09-2024 10:43,NULL
23,4,MCR & Security Room SLD,APGCL-AC ED-09,1,0,0,04-09-2024 10:43,04-09-2024 10:43,NULL
24,4,Earthing Layout of ICR yard,APGCL-AC ED-10,1,0,0,04-09-2024 10:43,04-09-2024 10:43,NULL
